Using existing test database for alias 'default'...
Preserving test database for alias 'default'...

100 slowest tests:
1.2920s test_tags (brainbank.tests.BrainBankPostTests)
0.7335s test_tags_in_view (brainbank.tests.BrainBankPostTests)
0.7040s test_url (brainbank.tests.BrainBankPostTests)
0.6836s test_tags (brainbank.tests.BrainBankCDemoTests)
0.6054s test_str (brainbank.tests.BrainBankPostTests)
0.5601s test_post_view (brainbank.tests.BrainBankPostTests)
0.5067s test_duplicates (brainbank.tests.BrainBankPostTests)
0.4825s test_idea_view (brainbank.tests.BrainBankAIdeaTests)
0.4644s test_doesnotexist (brainbank.tests.BrainBankPostTests)
0.4322s test_tags_in_view (brainbank.tests.BrainBankCDemoTests)
0.4227s test_url (brainbank.tests.BrainBankCDemoTests)
0.2746s test_str (brainbank.tests.BrainBankCDemoTests)
0.2398s test_duplicates (brainbank.tests.BrainBankCDemoTests)
0.1875s test_doesnotexist (brainbank.tests.BrainBankCDemoTests)
0.1755s test_demo_view (brainbank.tests.BrainBankCDemoTests)
0.1132s test_doesnotexist (brainbank.tests.BrainBankAIdeaTests)
0.0970s test_url (brainbank.tests.BrainBankAIdeaTests)
0.0892s test_str (brainbank.tests.BrainBankAIdeaTests)
0.0426s test_duplicates (brainbank.tests.BrainBankAIdeaTests)
0.0269s test_index_view (brainbank.tests.BrainBankIndexTest)
