Using existing test database for alias 'default'...
Preserving test database for alias 'default'...

100 slowest tests:
4.4539s test_view (devblog.tests.HomepageTest)
3.3193s test_slug_on_modify (devblog.tests.DevBlogSeriesTest)
3.2606s test_url (devblog.tests.HomepageTest)
3.1907s test_str (devblog.tests.DevBlogSeriesTest)
3.1650s test_save (devblog.tests.DevBlogSeriesTest)
3.0950s test_series_view (devblog.tests.DevBlogSeriesTest)
2.9806s test_series_url (devblog.tests.DevBlogSeriesTest)
2.5546s test_index_view (devblog.tests.DevBlogSeriesTest)
2.4898s test_nonexistant_series_view (devblog.tests.DevBlogSeriesTest)
2.2423s test_index_url (devblog.tests.DevBlogSeriesTest)
2.1458s test_valid_post_url (devblog.tests.DevBlogPostTest)
2.0237s test_str (devblog.tests.DevBlogPostTest)
1.9038s test_save_without_series (devblog.tests.DevBlogPostTest)
1.7613s test_post_view (devblog.tests.DevBlogPostTest)
1.6622s test_post_without_future (devblog.tests.DevBlogPostTest)
1.6585s test_save_with_series (devblog.tests.DevBlogPostTest)
1.2745s test_post_url (devblog.tests.DevBlogPostTest)
1.1452s test_index_view (devblog.tests.DevBlogPostTest)
1.1091s test_nonexistant_series_view (devblog.tests.DevBlogPostTest)
0.9686s test_nonexistant_post_view (devblog.tests.DevBlogPostTest)
0.7269s test_index_url (devblog.tests.DevBlogPostTest)
0.6112s test_future_timezone (devblog.tests.DevBlogPostTest)
0.4715s test_future_set_in_past (devblog.tests.DevBlogPostTest)
0.2781s test_duplicate (devblog.tests.DevBlogPostTest)
0.2369s test_code_prettify (devblog.tests.DevBlogPostTest)
