Using existing test database for alias 'default'...
Preserving test database for alias 'default'...

100 slowest tests:
0.8207s test_view (harshp.tests.HomepageTest)
0.2846s test_url (harshp.tests.HomepageTest)
0.1336s test_404_fancy_view (harshp.tests.ErrorPageTest)
0.0104s test_changelog_view (harshp.tests.SiteViewTest)
0.0098s test_404_url (harshp.tests.ErrorPageTest)
0.0076s test_500_fancy_url (harshp.tests.ErrorPageTest)
0.0071s test_privacy_policy_view (harshp.tests.SiteViewTest)
0.0047s test_duplicate_slug (harshp.tests.DuplicateUtilsTest)
0.0033s test_duplicate_slug_vanilla (harshp.tests.DuplicateUtilsTest)
0.0032s test_query_duplicates_return_val (harshp.tests.DuplicateUtilsTest)
0.0012s test_duplicate_slug_nodups (harshp.tests.DuplicateUtilsTest)
0.0009s test_duplicate_slug_vanilla_nodups (harshp.tests.DuplicateUtilsTest)
0.0005s test_changelog_url (harshp.tests.SiteViewTest)
0.0004s test_privacy_policy_url (harshp.tests.SiteViewTest)
0.0002s test_validate_args_kwargs (harshp.tests.DuplicateUtilsTest)
0.0002s test_validate_slugfield_length (harshp.tests.DuplicateUtilsTest)
0.0002s test_make_duplicate_slug (harshp.tests.DuplicateUtilsTest)
0.0002s test_validate_returnval (harshp.tests.DuplicateUtilsTest)
0.0002s test_validate_slugfield (harshp.tests.DuplicateUtilsTest)
0.0002s test_validate_object (harshp.tests.DuplicateUtilsTest)
