Using existing test database for alias 'default'...
Preserving test database for alias 'default'...

100 slowest tests:
2.2228s test_save (lifeX.tests.LifeXPostTest)
2.0857s test_post_view (lifeX.tests.LifeXPostTest)
1.5043s test_week_index_view (lifeX.tests.LifeXWeekTest)
1.2692s test_url (lifeX.tests.LifeXWeekTest)
1.1498s test_start_of_week (lifeX.tests.LifeXWeekTest)
1.0498s test_week_view (lifeX.tests.LifeXWeekTest)
1.0254s test_str (lifeX.tests.LifeXWeekTest)
1.0157s test_url (lifeX.tests.LifeXPostTest)
0.9521s test_save (lifeX.tests.LifeXWeekTest)
0.9426s test_str (lifeX.tests.LifeXPostTest)
0.9253s test_string_repr_of_week (lifeX.tests.LifeXWeekTest)
0.9183s test_end_of_week (lifeX.tests.LifeXWeekTest)
0.8879s test_abs_url (lifeX.tests.LifeXWeekTest)
0.8695s test_404 (lifeX.tests.LifeXWeekTest)
0.8241s test_blog_view (lifeX.tests.LifeXBlogTest)
0.7878s test_url (lifeX.tests.LifeXBlogTest)
0.7681s test_duplicate (lifeX.tests.LifeXPostTest)
0.6800s test_404 (lifeX.tests.LifeXPostTest)
0.6748s test_abs_url (lifeX.tests.LifeXPostTest)
0.6676s test_category_view (lifeX.tests.LifeXCategoryTest)
0.6487s test_url (lifeX.tests.LifeXIdeaTest)
0.6301s test_index_view (lifeX.tests.LifeXIndexTest)
0.5858s test_url (lifeX.tests.LifeXCategoryTest)
0.5609s test_idea_idea_view (lifeX.tests.LifeXIdeaTest)
0.5323s test_str (lifeX.tests.LifeXIdeaTest)
0.5135s test_save (lifeX.tests.LifeXIdeaTest)
0.4981s test_str (lifeX.tests.LifeXBlogTest)
0.4771s test_abs_url (lifeX.tests.LifeXIdeaTest)
0.4624s test_category_ideas_view (lifeX.tests.LifeXCategoryTest)
0.4540s test_404 (lifeX.tests.LifeXIdeaTest)
0.4059s test_save (lifeX.tests.LifeXBlogTest)
0.3910s test_blog_index_view (lifeX.tests.LifeXBlogTest)
0.3773s test_404 (lifeX.tests.LifeXCategoryTest)
0.3683s test_str (lifeX.tests.LifeXCategoryTest)
0.3676s test_save (lifeX.tests.LifeXCategoryTest)
0.3673s test_abs_url (lifeX.tests.LifeXCategoryTest)
0.3413s test_duplicate (lifeX.tests.LifeXBlogTest)
0.1874s test_404 (lifeX.tests.LifeXBlogTest)
0.1279s test_abs_url (lifeX.tests.LifeXBlogTest)
0.0274s test_presentation_view (lifeX.tests.LifeXPresentationTest)
0.0046s test_index_url (lifeX.tests.LifeXIndexTest)
0.0010s test_presentation_url (lifeX.tests.LifeXPresentationTest)
0.0003s test_start_date (lifeX.tests.LifeXDatesTest)
