Using existing test database for alias 'default'...
Preserving test database for alias 'default'...

100 slowest tests:
0.5059s test_tagcount (sitedata.tests.TagModelTest)
0.3418s test_feedback_form_view (sitedata.tests.FeedbackTest)
0.2659s test_save_with_dependency (sitedata.tests.JSLinkTest)
0.2160s test_str (sitedata.tests.JSLinkTest)
0.2026s test_save (sitedata.tests.JSLinkTest)
0.1923s test_cyclic_dependency (sitedata.tests.JSLinkTest)
0.1898s test_duplicates (sitedata.tests.JSLinkTest)
0.1765s test_feedback_index_view (sitedata.tests.FeedbackTest)
0.1726s test_link (sitedata.tests.JSLinkTest)
0.1680s test_feedback_view (sitedata.tests.FeedbackTest)
0.1600s test_feedback_with_anonymous_user (sitedata.tests.FeedbackTest)
0.1508s test_feedback_form_add_invalid_view (sitedata.tests.FeedbackTest)
0.1086s test_feedback_url (sitedata.tests.FeedbackTest)
0.1071s test_feedback_reply (sitedata.tests.FeedbackTest)
0.0935s test_post_view (sitedata.tests.TagModelTest)
0.0806s test_feedback_add_without_reply (sitedata.tests.FeedbackTest)
0.0676s test_feedback_form_add_view (sitedata.tests.FeedbackTest)
0.0484s test_feedback_form_add (sitedata.tests.FeedbackTest)
0.0355s test_feedback_form_view_without_url (sitedata.tests.FeedbackTest)
0.0301s test_feedback_duplicate (sitedata.tests.FeedbackTest)
0.0271s test_index_view (sitedata.tests.TagModelTest)
0.0269s test_save (sitedata.tests.TagModelTest)
0.0063s test_nonexistant_tag_view (sitedata.tests.TagModelTest)
0.0050s test_feedback_nonexistant (sitedata.tests.FeedbackTest)
0.0023s test_post_url (sitedata.tests.TagModelTest)
0.0018s test_str (sitedata.tests.TagModelTest)
0.0017s test_add_model (sitedata.tests.TagModelTest)
0.0016s test_duplicate (sitedata.tests.TagModelTest)
0.0013s test_valid_post_url (sitedata.tests.TagModelTest)
0.0010s test_current_domain (sitedata.tests.DictionaryTemplateTagTest)
0.0003s test_reltime (sitedata.tests.DictionaryTemplateTagTest)
0.0003s test_meta_parameters (sitedata.tests.SocialMetaTest)
0.0003s test_classname (sitedata.tests.DictionaryTemplateTagTest)
0.0002s test_meta_tags_are_set (sitedata.tests.SocialMetaTest)
0.0002s test_url_encode (sitedata.tests.DictionaryTemplateTagTest)
0.0002s test_meta_tags_are_unset (sitedata.tests.SocialMetaTest)
0.0002s test_dict_val (sitedata.tests.DictionaryTemplateTagTest)
